Internal Estimate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
Client:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
Project:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
Date Estimated:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
,,,,,,,,
Phase,Activity ,Scope of Work,Description,Team,Hours,Rate,Total,Notes
,Account Service,Internal Project Kickoff,"Time allocated for the internal team to align on project objectives, deliverables, timelines, and roles before beginning work. ",,0,100,0,"This should include Kellie, the account manager and the web team. This call should be limited to 30 or 45 minutes depending on the scope."
,Consulting,,,,0,175,0,
,Creative Design,,,,0,150,0,
,Website Design,,,,0,150,0,
,Website Development,,,,0,150,0,
,Photography,,,,0,250,0,
,Photography Assistant,,,,0,100,0,
,Copywriting,,,,0,150,0,
,Email Blasts,,,,0,125,0,
,Social Media,,,,0,125,0,
,SEO,,,,0,125,0,
,Creative Direction,,Oversight of the creative vision and execution to ensure consistency across all marketing touchpoints.,,0,150,0,
,Account Service,,"Day-to-day communication, project coordination, and client relationship management.",,0,100,0,
,Strategic Planning,,"High-level planning and strategic oversight to align marketing efforts with client business goals, budgets, and performance objectives. This includes ongoing analysis, prioritization of initiatives, proactive recommendations, and guidance to ensure all tactics are working together effectively.",,0,150,0,
,Production Management,,"Coordination of deliverables, vendors, and timelines to ensure smooth execution of projects.",,0,100,0,
,Marketing Coordinator ,,"Execution and support of marketing initiatives, including campaign setup, content scheduling, asset organization, and cross-team coordination to ensure timely and accurate delivery.",,0,100,0,
,Formulating New Business,,,,0,100,0,
,Project Total,,,,,,0,
,,,,,,,,
,,,,,,,,
Notes:,,,,,,,,
TBD,,,,,,,,
