Internal Estimate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
Client:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
Project:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
Date Estimated:,,,,,,,,
TBD,,,,,,,,
,,,,,,,,
,,,,,,,,
Phase ,Activity ,Item,Description,Team,Hours,Rate,Total,Notes / Explanations
Phase 1. Pre-Production,Account Service ,Internal Project Kick-Off Call,"Time allocated for the internal team to align on project objectives, deliverables, timelines, and roles before beginning work. ",,0,100,0,"This should include Kellie, the account manager and Nick. This call should be limited to 30 or 45 minutes depending on the scope."
Phase 1. Pre-Production,Account Service ,Creative briefing and planning session,"Initial meeting with the client to align on goals, target audience, messaging, and visual direction for the shoot.",,0,100,0,"This should include the client, the account manager and Nick. This call should be limited to 30 or 45 minutes depending on the scope."
Phase 1. Pre-Production,Creative Direction ,Storyboarding / Shot List Creation,Development of a visual plan and detailed list of required shots to guide production and ensure coverage.,,0,100,0,"If this is something Nick would do in a project, I would bill at our Creative Design rate of $150/hr. If he is only overseeing the process, then Creative Direction is good. "
Phase 1. Pre-Production,Account Service ,Site Walkthrough,"Site visit to assess lighting, logistics, and space, to plan optimal setups for filming or photography.",,0,100,0,This should include Nick and the account manager. Bill to Account Management.
Phase 1. Pre-Production,Production Management ,Scheduling and Coordination,"Organizing shoot date(s), talent, crew, equipment, and client approvals to ensure a smooth production day.",,0,100,0,
Phase 2. Production ,Account Service ,Oversee Shoot,The Account Manager will be present at the shoot for up to XX hours. ,,0,100,0,Time for the AM to attend the shoot
Phase 2. Production ,Photography,1 full-day photo shoot,Photography up to 8 hours,Nick,8,250,2000,
Phase 2. Production ,Photography Assistant ,Photography Assistant,Assistance up to 8 hours,,8,100,800,
Phase 2. Production ,Creative Direction ,Creative Direction,Up to 8 hours,Nick,8,100,800,Add if Nick is attending a video shoot
Phase 2. Production ,Photography Assistant ,1 half-day photo shoot,Photography up to 4 hours,Nick,4,250,1000,
Phase 2. Production ,Photography Assistant ,Photography Assistant,Assistance up to 4 hours,,4,100,400,
Phase 2. Production ,Creative Direction ,Creative Direction,Up to 4 hours,Nick,4,100,400,Add if Nick is attending a video shoot
Phase 3. Vendor ,Vendor ,Pre Production,"Creative consultation, content planning and pre production",,,,,
Phase 3. Vendor ,Vendor ,Equipment,,,,,,
Phase 3. Vendor ,Vendor ,1st Shooter Video,,,,,,
Phase 3. Vendor ,Vendor ,Editing,,,,,,
Phase. 4 Editing ,Photography,Editing,TBD,Nick,0,250,0,
General ,Account Service ,Account Management ,"Day-to-day communication, project coordination, and client relationship management.",,0,100,0,
General ,Production Management ,Production Management,"Oversight of the website project from initiation through final delivery. This includes task scheduling, timeline management, resource coordination, internal workflow tracking, quality control, and ensuring all project milestones are met.",,0,100,0,
General ,Marketing Coordinator,Marketing Coordinator ,"Execution and support of marketing initiatives, including campaign setup, content scheduling, asset organization, and cross-team coordination to ensure timely and accurate delivery.",,0,100,0,
General ,Formulating New Business,Formulating New Business ,,,0,100,0,
,,,,,,,5400,
,,,,,,,,
,,,,,,,,
Phase ,Activity ,Item,Description,Total,Notes,,,
General ,Raw Footage,Raw Footage ,"If requested, 50% of project total.",2700,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Notes:,,,,,,,,
